dgrp	sex	low_extreme	mediocre	high_extreme	total_nr_phenotypes	fraction_extreme
DGRP_440	NA	0.038461538461538464	0.6923076923076923	0.2692307692307692	52	0.3076923076923077
DGRP_441	F	0.11764705882352941	0.75	0.1323529411764706	68	0.25
DGRP_441	M	0.1111111111111111	0.7361111111111112	0.1527777777777778	72	0.2638888888888889
DGRP_441	NA	0.07692307692307693	0.8076923076923077	0.11538461538461539	52	0.19230769230769232
DGRP_443	F	0.06666666666666667	0.8133333333333334	0.12	75	0.18666666666666665
DGRP_443	M	0.1728395061728395	0.6419753086419753	0.18518518518518517	81	0.35802469135802467
DGRP_443	NA	0.09615384615384616	0.5192307692307693	0.38461538461538464	52	0.4807692307692308
DGRP_449	F	0.2	0.4	0.4	5	0.6000000000000001
DGRP_449	M	0.4	NA	0.6	5	1
DGRP_461	F	0.45454545454545453	0.5454545454545454	NA	66	0.45454545454545453
DGRP_461	M	0.3561643835616438	0.6164383561643836	0.0273972602739726	73	0.3835616438356164
DGRP_461	NA	0.2558139534883721	0.4883720930232558	0.2558139534883721	43	0.5116279069767442
DGRP_476	F	0.2631578947368421	0.7368421052631579	NA	19	0.2631578947368421
DGRP_476	M	0.125	0.875	NA	8	0.125
DGRP_476	NA	NA	1	NA	2	0
DGRP_486	F	0.19736842105263158	0.6842105263157895	0.11842105263157894	76	0.3157894736842105
DGRP_486	M	0.24691358024691357	0.6172839506172839	0.13580246913580246	81	0.38271604938271603
DGRP_486	NA	0.44	0.4	0.16	50	0.6
DGRP_491	F	0.16176470588235295	0.6764705882352942	0.16176470588235295	68	0.3235294117647059
DGRP_491	M	0.1780821917808219	0.6438356164383562	0.1780821917808219	73	0.3561643835616438
DGRP_491	NA	0.15384615384615385	0.75	0.09615384615384616	52	0.25
DGRP_492	F	0.2647058823529412	0.6470588235294118	0.08823529411764706	68	0.35294117647058826
DGRP_492	M	0.2236842105263158	0.618421052631579	0.15789473684210525	76	0.381578947368421
DGRP_492	NA	0.058823529411764705	0.8529411764705882	0.08823529411764706	34	0.14705882352941177
DGRP_502	F	0.17391304347826086	0.5942028985507246	0.2318840579710145	69	0.4057971014492754
DGRP_502	M	0.1891891891891892	0.7162162162162162	0.0945945945945946	74	0.28378378378378377
DGRP_502	NA	0.15384615384615385	0.6923076923076923	0.15384615384615385	52	0.3076923076923077
DGRP_505	F	0.14285714285714285	0.8571428571428571	NA	21	0.14285714285714285
DGRP_505	M	0.16666666666666666	0.8333333333333334	NA	18	0.16666666666666666
DGRP_505	NA	NA	1	NA	2	0
DGRP_508	F	0.208955223880597	0.6716417910447762	0.11940298507462686	67	0.3283582089552239
DGRP_508	M	0.24324324324324326	0.6081081081081081	0.14864864864864866	74	0.3918918918918919
DGRP_508	NA	0.11538461538461539	0.7692307692307693	0.11538461538461539	52	0.23076923076923078
DGRP_509	F	0.16666666666666666	0.7037037037037037	0.12962962962962962	54	0.2962962962962963
DGRP_509	M	0.15942028985507245	0.7101449275362319	0.13043478260869565	69	0.28985507246376807
DGRP_509	NA	0.057692307692307696	0.7115384615384616	0.23076923076923078	52	0.2884615384615385
DGRP_513	F	0.22641509433962265	0.7358490566037735	0.03773584905660377	53	0.2641509433962264
DGRP_513	M	0.19047619047619047	0.7380952380952381	0.07142857142857142	42	0.26190476190476186
DGRP_513	NA	0.2127659574468085	0.6595744680851063	0.1276595744680851	47	0.3404255319148936
DGRP_514	F	0.08	0.6	0.32	25	0.4
DGRP_514	M	0.0975609756097561	0.5365853658536586	0.36585365853658536	41	0.46341463414634143
DGRP_514	NA	0.1	0.8	0.1	20	0.2
DGRP_517	F	0.1891891891891892	0.6891891891891891	0.12162162162162163	74	0.31081081081081086
DGRP_517	M	0.2413793103448276	0.6551724137931034	0.10344827586206896	87	0.3448275862068966
DGRP_517	NA	0.038461538461538464	0.4230769230769231	0.5384615384615384	52	0.5769230769230769
DGRP_521	NA	NA	NA	1	1	1
DGRP_525	F	NA	0.75	0.25	4	0.25
DGRP_525	M	NA	0.5	0.5	4	0.5
DGRP_528	F	0.04	0.88	0.08	25	0.12
DGRP_528	M	NA	1	NA	22	0
DGRP_528	NA	NA	0.8571428571428571	0.14285714285714285	7	0.14285714285714285
DGRP_530	F	0.09302325581395349	0.8372093023255814	0.06976744186046512	43	0.16279069767441862
DGRP_530	M	0.06060606060606061	0.7575757575757576	0.18181818181818182	33	0.24242424242424243
DGRP_530	NA	0.14285714285714285	0.7142857142857143	0.14285714285714285	21	0.2857142857142857
DGRP_531	F	0.08333333333333333	0.75	0.16666666666666666	48	0.25
DGRP_531	M	0.16666666666666666	0.7142857142857143	0.11904761904761904	42	0.2857142857142857
DGRP_531	NA	0.17647058823529413	0.5882352941176471	0.23529411764705882	51	0.4117647058823529
DGRP_535	F	0.09859154929577464	0.7605633802816901	0.14084507042253522	71	0.23943661971830987
DGRP_535	M	0.11538461538461539	0.8076923076923077	0.07692307692307693	78	0.19230769230769232
DGRP_535	NA	0.09615384615384616	0.7884615384615384	0.11538461538461539	52	0.21153846153846156
DGRP_551	F	0.05	0.9	0.05	20	0.1
DGRP_551	M	0.058823529411764705	0.9411764705882353	NA	17	0.058823529411764705
DGRP_551	NA	0.14285714285714285	0.5714285714285714	0.2857142857142857	7	0.42857142857142855
DGRP_554	F	0.08695652173913043	0.7391304347826086	0.17391304347826086	23	0.2608695652173913
DGRP_554	M	0.13513513513513514	0.5945945945945946	0.2702702702702703	37	0.40540540540540543
DGRP_554	NA	0.05263157894736842	0.8947368421052632	0.05263157894736842	19	0.10526315789473684
DGRP_555	F	0.11392405063291139	0.7721518987341772	0.11392405063291139	79	0.22784810126582278
DGRP_555	M	0.17647058823529413	0.6705882352941176	0.15294117647058825	85	0.3294117647058824
DGRP_555	NA	0.14285714285714285	0.7142857142857143	0.14285714285714285	56	0.2857142857142857
DGRP_556	F	0.0625	0.875	0.0625	16	0.125
DGRP_556	M	0.25	0.5	0.25	4	0.5
DGRP_559	F	0.15	0.85	NA	20	0.15
DGRP_559	M	0.35294117647058826	0.6470588235294118	NA	17	0.35294117647058826
DGRP_559	NA	NA	0.7142857142857143	0.2857142857142857	7	0.2857142857142857
DGRP_563	F	0.14754098360655737	0.639344262295082	0.21311475409836064	61	0.360655737704918
DGRP_563	M	0.18666666666666668	0.6133333333333333	0.2	75	0.3866666666666667
DGRP_563	NA	0.019230769230769232	0.8269230769230769	0.15384615384615385	52	0.17307692307692307
DGRP_565	F	NA	0.75	0.25	4	0.25
DGRP_565	M	NA	1	NA	4	0
DGRP_566	F	0.07692307692307693	0.7307692307692307	0.19230769230769232	26	0.2692307692307693
DGRP_566	M	0.08695652173913043	0.6956521739130435	0.21739130434782608	23	0.30434782608695654
DGRP_566	NA	0.2857142857142857	0.42857142857142855	0.2857142857142857	7	0.5714285714285714
DGRP_584	F	0.25862068965517243	0.5689655172413793	0.1724137931034483	58	0.4310344827586207
DGRP_584	M	0.1388888888888889	0.5833333333333334	0.2777777777777778	36	0.4166666666666667
DGRP_584	NA	0.2857142857142857	0.5714285714285714	0.14285714285714285	21	0.42857142857142855
DGRP_589	F	0.0945945945945946	0.7432432432432432	0.16216216216216217	74	0.2567567567567568
DGRP_589	M	0.09876543209876543	0.7283950617283951	0.1728395061728395	81	0.2716049382716049
DGRP_589	NA	0.23076923076923078	0.7115384615384616	0.057692307692307696	52	0.2884615384615385
DGRP_591	F	0.07142857142857142	0.7857142857142857	0.14285714285714285	14	0.21428571428571427
DGRP_591	M	0.6666666666666666	0.3333333333333333	NA	3	0.6666666666666666
DGRP_591	NA	0.0967741935483871	0.8709677419354839	0.03225806451612903	31	0.12903225806451613
DGRP_595	F	0.1044776119402985	0.7611940298507462	0.13432835820895522	67	0.23880597014925373
DGRP_595	M	0.16216216216216217	0.7432432432432432	0.0945945945945946	74	0.2567567567567568
DGRP_595	NA	0.21153846153846154	0.6730769230769231	0.11538461538461539	52	0.3269230769230769
DGRP_596	F	0.2631578947368421	0.5789473684210527	0.15789473684210525	19	0.42105263157894735
DGRP_596	M	0.1875	0.75	0.0625	16	0.25
DGRP_596	NA	NA	1	NA	2	0
DGRP_613	F	NA	0.5	0.5	4	0.5
DGRP_613	M	NA	1	NA	4	0
DGRP_627	F	0.07692307692307693	0.8846153846153846	0.038461538461538464	26	0.11538461538461539
DGRP_627	M	0.17391304347826086	0.6521739130434783	0.17391304347826086	23	0.34782608695652173
DGRP_627	NA	NA	0.7142857142857143	0.2857142857142857	7	0.2857142857142857
DGRP_630	F	0.1	0.75	0.15	20	0.25
DGRP_630	M	0.058823529411764705	0.8235294117647058	0.11764705882352941	17	0.1764705882352941
DGRP_630	NA	0.14285714285714285	0.14285714285714285	0.7142857142857143	7	0.8571428571428572
DGRP_634	F	0.15	0.65	0.2	20	0.35
DGRP_634	M	0.17647058823529413	0.7647058823529411	0.058823529411764705	17	0.23529411764705882
DGRP_634	NA	NA	1	NA	7	0
